Main.Row	Main.Col	Sub.Row	Sub.Col	SubgridAlias	SpotType	Dilution	GridAlias
1	1	1	1	Sample-1-1-1	Sample	100	Sample-1
1	1	1	2	Sample-1-1-2	Sample	50	Sample-1
1	1	1	3	Sample-1-1-3	Sample	25	Sample-1
1	1	1	4	Sample-1-1-4	Sample	12.5	Sample-1
1	1	1	5	Sample-1-1-5	Sample	6.25	Sample-1
1	1	1	6	Sample-1-2-1	Sample	100	Sample-2
1	1	1	7	Sample-1-2-2	Sample	50	Sample-2
1	1	1	8	Sample-1-2-3	Sample	25	Sample-2
1	1	1	9	Sample-1-2-4	Sample	12.5	Sample-2
1	1	1	10	Sample-1-2-5	Sample	6.25	Sample-2
1	1	1	11	PosCtrl-1-1	PosCtrl	100	PosCtrl-1
1	1	2	1	Sample-2-1-1	Sample	100	Sample-3
1	1	2	2	Sample-2-1-2	Sample	50	Sample-3
1	1	2	3	Sample-2-1-3	Sample	25	Sample-3
1	1	2	4	Sample-2-1-4	Sample	12.5	Sample-3
1	1	2	5	Sample-2-1-5	Sample	6.25	Sample-3
1	1	2	6	Sample-2-2-1	Sample	100	Sample-4
1	1	2	7	Sample-2-2-2	Sample	50	Sample-4
1	1	2	8	Sample-2-2-3	Sample	25	Sample-4
1	1	2	9	Sample-2-2-4	Sample	12.5	Sample-4
1	1	2	10	Sample-2-2-5	Sample	6.25	Sample-4
1	1	2	11	PosCtrl-1-2	PosCtrl	50	PosCtrl-1
1	1	3	1	Sample-3-1-1	Sample	100	Sample-5
1	1	3	2	Sample-3-1-2	Sample	50	Sample-5
1	1	3	3	Sample-3-1-3	Sample	25	Sample-5
1	1	3	4	Sample-3-1-4	Sample	12.5	Sample-5
1	1	3	5	Sample-3-1-5	Sample	6.25	Sample-5
1	1	3	6	Sample-3-2-1	Sample	100	Sample-6
1	1	3	7	Sample-3-2-2	Sample	50	Sample-6
1	1	3	8	Sample-3-2-3	Sample	25	Sample-6
1	1	3	9	Sample-3-2-4	Sample	12.5	Sample-6
1	1	3	10	Sample-3-2-5	Sample	6.25	Sample-6
1	1	3	11	PosCtrl-1-3	PosCtrl	25	PosCtrl-1
1	1	4	1	Sample-4-1-1	Sample	100	Sample-7
1	1	4	2	Sample-4-1-2	Sample	50	Sample-7
1	1	4	3	Sample-4-1-3	Sample	25	Sample-7
1	1	4	4	Sample-4-1-4	Sample	12.5	Sample-7
1	1	4	5	Sample-4-1-5	Sample	6.25	Sample-7
1	1	4	6	Sample-4-2-1	Sample	100	Sample-8
1	1	4	7	Sample-4-2-2	Sample	50	Sample-8
1	1	4	8	Sample-4-2-3	Sample	25	Sample-8
1	1	4	9	Sample-4-2-4	Sample	12.5	Sample-8
1	1	4	10	Sample-4-2-5	Sample	6.25	Sample-8
1	1	4	11	PosCtrl-1-4	PosCtrl	12.5	PosCtrl-1
1	1	5	1	Sample-5-1-1	Sample	100	Sample-9
1	1	5	2	Sample-5-1-2	Sample	50	Sample-9
1	1	5	3	Sample-5-1-3	Sample	25	Sample-9
1	1	5	4	Sample-5-1-4	Sample	12.5	Sample-9
1	1	5	5	Sample-5-1-5	Sample	6.25	Sample-9
1	1	5	6	Sample-5-2-1	Sample	100	Sample-10
1	1	5	7	Sample-5-2-2	Sample	50	Sample-10
1	1	5	8	Sample-5-2-3	Sample	25	Sample-10
1	1	5	9	Sample-5-2-4	Sample	12.5	Sample-10
1	1	5	10	Sample-5-2-5	Sample	6.25	Sample-10
1	1	5	11	PosCtrl-1-5	PosCtrl	6.25	PosCtrl-1
1	1	6	1	Sample-6-1-1	Sample	100	Sample-11
1	1	6	2	Sample-6-1-2	Sample	50	Sample-11
1	1	6	3	Sample-6-1-3	Sample	25	Sample-11
1	1	6	4	Sample-6-1-4	Sample	12.5	Sample-11
1	1	6	5	Sample-6-1-5	Sample	6.25	Sample-11
1	1	6	6	Sample-6-2-1	Sample	100	Sample-12
1	1	6	7	Sample-6-2-2	Sample	50	Sample-12
1	1	6	8	Sample-6-2-3	Sample	25	Sample-12
1	1	6	9	Sample-6-2-4	Sample	12.5	Sample-12
1	1	6	10	Sample-6-2-5	Sample	6.25	Sample-12
1	1	6	11	NegCtrl	NegCtrl	0	NegCtrl-1
1	1	7	1	Sample-7-1-1	Sample	100	Sample-13
1	1	7	2	Sample-7-1-2	Sample	50	Sample-13
1	1	7	3	Sample-7-1-3	Sample	25	Sample-13
1	1	7	4	Sample-7-1-4	Sample	12.5	Sample-13
1	1	7	5	Sample-7-1-5	Sample	6.25	Sample-13
1	1	7	6	Sample-7-2-1	Sample	100	Sample-14
1	1	7	7	Sample-7-2-2	Sample	50	Sample-14
1	1	7	8	Sample-7-2-3	Sample	25	Sample-14
1	1	7	9	Sample-7-2-4	Sample	12.5	Sample-14
1	1	7	10	Sample-7-2-5	Sample	6.25	Sample-14
1	1	7	11	PosCtrl-2-5	PosCtrl	6.25	PosCtrl-2
1	1	8	1	Sample-8-1-1	Sample	100	Sample-15
1	1	8	2	Sample-8-1-2	Sample	50	Sample-15
1	1	8	3	Sample-8-1-3	Sample	25	Sample-15
1	1	8	4	Sample-8-1-4	Sample	12.5	Sample-15
1	1	8	5	Sample-8-1-5	Sample	6.25	Sample-15
1	1	8	6	Sample-8-2-1	Sample	100	Sample-16
1	1	8	7	Sample-8-2-2	Sample	50	Sample-16
1	1	8	8	Sample-8-2-3	Sample	25	Sample-16
1	1	8	9	Sample-8-2-4	Sample	12.5	Sample-16
1	1	8	10	Sample-8-2-5	Sample	6.25	Sample-16
1	1	8	11	PosCtrl-2-4	PosCtrl	12.5	PosCtrl-2
1	1	9	1	Sample-9-1-1	Sample	100	Sample-17
1	1	9	2	Sample-9-1-2	Sample	50	Sample-17
1	1	9	3	Sample-9-1-3	Sample	25	Sample-17
1	1	9	4	Sample-9-1-4	Sample	12.5	Sample-17
1	1	9	5	Sample-9-1-5	Sample	6.25	Sample-17
1	1	9	6	Sample-9-2-1	Sample	100	Sample-18
1	1	9	7	Sample-9-2-2	Sample	50	Sample-18
1	1	9	8	Sample-9-2-3	Sample	25	Sample-18
1	1	9	9	Sample-9-2-4	Sample	12.5	Sample-18
1	1	9	10	Sample-9-2-5	Sample	6.25	Sample-18
1	1	9	11	PosCtrl-2-3	PosCtrl	25	PosCtrl-2
1	1	10	1	Sample-10-1-1	Sample	100	Sample-19
1	1	10	2	Sample-10-1-2	Sample	50	Sample-19
1	1	10	3	Sample-10-1-3	Sample	25	Sample-19
1	1	10	4	Sample-10-1-4	Sample	12.5	Sample-19
1	1	10	5	Sample-10-1-5	Sample	6.25	Sample-19
1	1	10	6	Sample-10-2-1	Sample	100	Sample-20
1	1	10	7	Sample-10-2-2	Sample	50	Sample-20
1	1	10	8	Sample-10-2-3	Sample	25	Sample-20
1	1	10	9	Sample-10-2-4	Sample	12.5	Sample-20
1	1	10	10	Sample-10-2-5	Sample	6.25	Sample-20
1	1	10	11	PosCtrl-2-2	PosCtrl	50	PosCtrl-2
1	1	11	1	Sample-11-1-1	Sample	100	Sample-21
1	1	11	2	Sample-11-1-2	Sample	50	Sample-21
1	1	11	3	Sample-11-1-3	Sample	25	Sample-21
1	1	11	4	Sample-11-1-4	Sample	12.5	Sample-21
1	1	11	5	Sample-11-1-5	Sample	6.25	Sample-21
1	1	11	6	Sample-11-2-1	Sample	100	Sample-22
1	1	11	7	Sample-11-2-2	Sample	50	Sample-22
1	1	11	8	Sample-11-2-3	Sample	25	Sample-22
1	1	11	9	Sample-11-2-4	Sample	12.5	Sample-22
1	1	11	10	Sample-11-2-5	Sample	6.25	Sample-22
1	1	11	11	PosCtrl-2-1	PosCtrl	100	PosCtrl-2
1	2	1	1	Sample-1-1-1	Sample	100	Sample-23
1	2	1	2	Sample-1-1-2	Sample	50	Sample-23
1	2	1	3	Sample-1-1-3	Sample	25	Sample-23
1	2	1	4	Sample-1-1-4	Sample	12.5	Sample-23
1	2	1	5	Sample-1-1-5	Sample	6.25	Sample-23
1	2	1	6	Sample-1-2-1	Sample	100	Sample-24
1	2	1	7	Sample-1-2-2	Sample	50	Sample-24
1	2	1	8	Sample-1-2-3	Sample	25	Sample-24
1	2	1	9	Sample-1-2-4	Sample	12.5	Sample-24
1	2	1	10	Sample-1-2-5	Sample	6.25	Sample-24
1	2	1	11	PosCtrl-1-1	PosCtrl	100	PosCtrl-3
1	2	2	1	Sample-2-1-1	Sample	100	Sample-25
1	2	2	2	Sample-2-1-2	Sample	50	Sample-25
1	2	2	3	Sample-2-1-3	Sample	25	Sample-25
1	2	2	4	Sample-2-1-4	Sample	12.5	Sample-25
1	2	2	5	Sample-2-1-5	Sample	6.25	Sample-25
1	2	2	6	Sample-2-2-1	Sample	100	Sample-26
1	2	2	7	Sample-2-2-2	Sample	50	Sample-26
1	2	2	8	Sample-2-2-3	Sample	25	Sample-26
1	2	2	9	Sample-2-2-4	Sample	12.5	Sample-26
1	2	2	10	Sample-2-2-5	Sample	6.25	Sample-26
1	2	2	11	PosCtrl-1-2	PosCtrl	50	PosCtrl-3
1	2	3	1	Sample-3-1-1	Sample	100	Sample-27
1	2	3	2	Sample-3-1-2	Sample	50	Sample-27
1	2	3	3	Sample-3-1-3	Sample	25	Sample-27
1	2	3	4	Sample-3-1-4	Sample	12.5	Sample-27
1	2	3	5	Sample-3-1-5	Sample	6.25	Sample-27
1	2	3	6	Sample-3-2-1	Sample	100	Sample-28
1	2	3	7	Sample-3-2-2	Sample	50	Sample-28
1	2	3	8	Sample-3-2-3	Sample	25	Sample-28
1	2	3	9	Sample-3-2-4	Sample	12.5	Sample-28
1	2	3	10	Sample-3-2-5	Sample	6.25	Sample-28
1	2	3	11	PosCtrl-1-3	PosCtrl	25	PosCtrl-3
1	2	4	1	Sample-4-1-1	Sample	100	Sample-29
1	2	4	2	Sample-4-1-2	Sample	50	Sample-29
1	2	4	3	Sample-4-1-3	Sample	25	Sample-29
1	2	4	4	Sample-4-1-4	Sample	12.5	Sample-29
1	2	4	5	Sample-4-1-5	Sample	6.25	Sample-29
1	2	4	6	Sample-4-2-1	Sample	100	Sample-30
1	2	4	7	Sample-4-2-2	Sample	50	Sample-30
1	2	4	8	Sample-4-2-3	Sample	25	Sample-30
1	2	4	9	Sample-4-2-4	Sample	12.5	Sample-30
1	2	4	10	Sample-4-2-5	Sample	6.25	Sample-30
1	2	4	11	PosCtrl-1-4	PosCtrl	12.5	PosCtrl-3
1	2	5	1	Sample-5-1-1	Sample	100	Sample-31
1	2	5	2	Sample-5-1-2	Sample	50	Sample-31
1	2	5	3	Sample-5-1-3	Sample	25	Sample-31
1	2	5	4	Sample-5-1-4	Sample	12.5	Sample-31
1	2	5	5	Sample-5-1-5	Sample	6.25	Sample-31
1	2	5	6	Sample-5-2-1	Sample	100	Sample-32
1	2	5	7	Sample-5-2-2	Sample	50	Sample-32
1	2	5	8	Sample-5-2-3	Sample	25	Sample-32
1	2	5	9	Sample-5-2-4	Sample	12.5	Sample-32
1	2	5	10	Sample-5-2-5	Sample	6.25	Sample-32
1	2	5	11	PosCtrl-1-5	PosCtrl	6.25	PosCtrl-3
1	2	6	1	Sample-6-1-1	Sample	100	Sample-33
1	2	6	2	Sample-6-1-2	Sample	50	Sample-33
1	2	6	3	Sample-6-1-3	Sample	25	Sample-33
1	2	6	4	Sample-6-1-4	Sample	12.5	Sample-33
1	2	6	5	Sample-6-1-5	Sample	6.25	Sample-33
1	2	6	6	Sample-6-2-1	Sample	100	Sample-34
1	2	6	7	Sample-6-2-2	Sample	50	Sample-34
1	2	6	8	Sample-6-2-3	Sample	25	Sample-34
1	2	6	9	Sample-6-2-4	Sample	12.5	Sample-34
1	2	6	10	Sample-6-2-5	Sample	6.25	Sample-34
1	2	6	11	NegCtrl	NegCtrl	0	NegCtrl-2
1	2	7	1	Sample-7-1-1	Sample	100	Sample-35
1	2	7	2	Sample-7-1-2	Sample	50	Sample-35
1	2	7	3	Sample-7-1-3	Sample	25	Sample-35
1	2	7	4	Sample-7-1-4	Sample	12.5	Sample-35
1	2	7	5	Sample-7-1-5	Sample	6.25	Sample-35
1	2	7	6	Sample-7-2-1	Sample	100	Sample-36
1	2	7	7	Sample-7-2-2	Sample	50	Sample-36
1	2	7	8	Sample-7-2-3	Sample	25	Sample-36
1	2	7	9	Sample-7-2-4	Sample	12.5	Sample-36
